dff	machine_status	job_id	machine_id	created_at	updated_at	total_run_time	total_cutting_time	run_time	feed_rate	cutting_speed	spindle_speed	spindle_load	axis_load	axis_name	programe_number	programe_description	run_second
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:19:42 UTC	2017-08-01 04:19:42 UTC	26	734991	0	25005	2400					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:20:05 UTC	2017-08-01 04:20:05 UTC	27	734992	0	350	2400					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:20:28 UTC	2017-08-01 04:20:28 UTC	27	734992	1	350	2401					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:20:51 UTC	2017-08-01 04:20:51 UTC	27	734992	1	350	2401					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:21:15 UTC	2017-08-01 04:21:15 UTC	28	734993	2	24000	0					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:21:40 UTC	2017-08-01 04:21:40 UTC	28	734993	2	380	2774					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:22:03 UTC	2017-08-01 04:22:03 UTC	29	734993	2	0	0					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:22:28 UTC	2017-08-01 04:22:28 UTC	29	734993	3	120	801					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:23:00 UTC	2017-08-01 04:23:00 UTC	29	734994	3	120	801					144		
1	3		16	2017-08-01 04:23:25 UTC	2017-08-01 04:23:25 UTC	30	734994	4	0	0					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:23:49 UTC	2017-08-01 04:23:49 UTC	30	734994	4	0	2500					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:24:12 UTC	2017-08-01 04:24:12 UTC	31	734994	5	300	2500					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:24:38 UTC	2017-08-01 04:24:38 UTC	31	734995	5	300	2499					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:25:04 UTC	2017-08-01 04:25:04 UTC	32	734995	5	80	801					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:25:28 UTC	2017-08-01 04:25:28 UTC	32	734995	6	80	801					144		
1	3	(*CONTROLVALVE RH&LH CASE 4AX-20*)	16	2017-08-01 04:25:54 UTC	2017-08-01 04:25:54 UTC	32	734996	6	80	801					144		
1	1		16	2017-08-01 04:26:23 UTC	2017-08-01 04:26:23 UTC	33	734996	7	0	0					144		
1	1		16	2017-08-01 04:26:52 UTC	2017-08-01 04:26:52 UTC	33	734996	7	0	0					144		
1	1		16	2017-08-01 04:27:16 UTC	2017-08-01 04:27:16 UTC	33	734996	7	0	0					144		
1	1		16	2017-08-01 04:27:40 UTC	2017-08-01 04:27:40 UTC	33	734996	7	0	0					144		
1	1		16	2017-08-01 04:28:06 UTC	2017-08-01 04:28:06 UTC	33	734996	7	0	0					144		
